file	model	utmos_ref	utmos	pesq_wb	estoi	mcd_db	seconds
01758790_v020_fd5c2c9416.flac	baseline	2.8537	2.793	3.6158	0.9582	2.3579	3.52
01758790_v020_fd5c2c9416.flac	plus_c	2.8537	2.8256	3.6125	0.9561	2.3848	3.52
01758790_v020_fd5c2c9416.flac	plus_cb	2.8537	2.6216	3.6156	0.9634	2.3732	3.52
01758790_v020_fd5c2c9416.flac	plus_cba	2.8537	2.8211	3.2057	0.9519	2.4197	3.52
01758790_v020_fd5c2c9416.flac	vocos_pretrained_en	2.8537	2.9343	3.6964	0.953	2.4552	3.52
01758790_v020_fd5c2c9416.flac	bigvgan_v2	2.8537	2.9269	4.3121	0.9847	2.3079	3.52
00933436_v072_398257aa18.flac	baseline	3.613	3.0222	3.9687	0.9891	2.7524	2.88
00933436_v072_398257aa18.flac	plus_c	3.613	3.1218	4.117	0.989	2.7995	2.88
00933436_v072_398257aa18.flac	plus_cb	3.613	3.217	3.8561	0.9877	2.5379	2.88
00933436_v072_398257aa18.flac	plus_cba	3.613	2.9847	4.1281	0.9864	2.6648	2.88
00933436_v072_398257aa18.flac	vocos_pretrained_en	3.613	2.9126	3.9436	0.9887	3.0051	2.88
00933436_v072_398257aa18.flac	bigvgan_v2	3.613	3.1945	4.5508	0.9973	3.1612	2.88
01284935_v062_3b82b44cb3.flac	baseline	3.6421	3.4683	1.1356	0.9593	2.8207	7.36
01284935_v062_3b82b44cb3.flac	plus_c	3.6421	3.5121	1.12	0.9565	2.7449	7.36
01284935_v062_3b82b44cb3.flac	plus_cb	3.6421	3.5418	1.1314	0.9532	2.7654	7.36
01284935_v062_3b82b44cb3.flac	plus_cba	3.6421	3.5013	1.1259	0.9502	2.8253	7.36
01284935_v062_3b82b44cb3.flac	vocos_pretrained_en	3.6421	3.2398	2.4343	0.9521	3.0647	7.36
01284935_v062_3b82b44cb3.flac	bigvgan_v2	3.6421	3.6052	4.4273	0.9948	2.7988	7.36
07431558_v077_47833454b8.flac	baseline	3.6058	3.2596	3.2222	0.9643	2.3513	3.36
07431558_v077_47833454b8.flac	plus_c	3.6058	3.3397	3.589	0.9682	2.2977	3.36
07431558_v077_47833454b8.flac	plus_cb	3.6058	3.6609	3.6933	0.9683	2.2917	3.36
07431558_v077_47833454b8.flac	plus_cba	3.6058	3.6722	3.609	0.9637	2.2568	3.36
07431558_v077_47833454b8.flac	vocos_pretrained_en	3.6058	3.3157	3.5322	0.9606	2.7188	3.36
07431558_v077_47833454b8.flac	bigvgan_v2	3.6058	3.6913	4.4698	0.995	2.5236	3.36
07537142_v057_cc9a1bec17.flac	baseline	3.7283	3.2916	3.7756	0.958	2.0447	1.44
07537142_v057_cc9a1bec17.flac	plus_c	3.7283	3.2241	3.5539	0.9478	2.0956	1.44
07537142_v057_cc9a1bec17.flac	plus_cb	3.7283	3.3711	3.7602	0.9585	2.1683	1.44
07537142_v057_cc9a1bec17.flac	plus_cba	3.7283	3.2283	3.7457	0.9651	2.2141	1.44
07537142_v057_cc9a1bec17.flac	vocos_pretrained_en	3.7283	3.0993	3.6063	0.9555	2.3761	1.44
07537142_v057_cc9a1bec17.flac	bigvgan_v2	3.7283	3.6989	4.069	0.9831	3.2372	1.44
02884645_v001_d48bcd3f1d.flac	baseline	2.8491	2.8012	3.8816	0.9753	2.5931	5.76
02884645_v001_d48bcd3f1d.flac	plus_c	2.8491	2.6334	3.8738	0.9742	2.5437	5.76
02884645_v001_d48bcd3f1d.flac	plus_cb	2.8491	2.6825	3.8509	0.9754	2.4388	5.76
02884645_v001_d48bcd3f1d.flac	plus_cba	2.8491	2.7016	3.6122	0.9729	2.5241	5.76
02884645_v001_d48bcd3f1d.flac	vocos_pretrained_en	2.8491	2.2199	3.7932	0.967	2.8364	5.76
02884645_v001_d48bcd3f1d.flac	bigvgan_v2	2.8491	2.9378	4.3993	0.9941	2.574	5.76
00060591_v031_e8c2a8b78e.flac	baseline	2.0767	2.055	3.6551	0.9779	2.3758	3.52
00060591_v031_e8c2a8b78e.flac	plus_c	2.0767	2.2146	3.7008	0.9804	2.3317	3.52
00060591_v031_e8c2a8b78e.flac	plus_cb	2.0767	1.8848	3.7547	0.9781	2.3871	3.52
00060591_v031_e8c2a8b78e.flac	plus_cba	2.0767	1.9732	3.5488	0.9746	2.3953	3.52
00060591_v031_e8c2a8b78e.flac	vocos_pretrained_en	2.0767	1.756	3.5996	0.9722	2.5473	3.52
00060591_v031_e8c2a8b78e.flac	bigvgan_v2	2.0767	2.0301	4.4525	0.9959	2.4696	3.52
00089719_v002_e02c68d82d.flac	baseline	3.6769	3.2703	3.2322	0.9594	1.8933	4.96
00089719_v002_e02c68d82d.flac	plus_c	3.6769	3.324	3.4893	0.9625	1.8411	4.96
00089719_v002_e02c68d82d.flac	plus_cb	3.6769	3.1628	3.3972	0.9615	1.8549	4.96
00089719_v002_e02c68d82d.flac	plus_cba	3.6769	2.9552	3.4503	0.9454	1.9834	4.96
00089719_v002_e02c68d82d.flac	vocos_pretrained_en	3.6769	3.4078	3.4659	0.961	2.4927	4.96
00089719_v002_e02c68d82d.flac	bigvgan_v2	3.6769	3.6612	4.4499	0.995	2.2221	4.96
07016762_v008_6e85c31dee.flac	baseline	3.1821	3.0307	3.3423	0.9697	2.9998	1.12
07016762_v008_6e85c31dee.flac	plus_c	3.1821	2.9562	3.3489	0.9668	2.8074	1.12
07016762_v008_6e85c31dee.flac	plus_cb	3.1821	2.9683	3.5018	0.9769	3.0974	1.12
07016762_v008_6e85c31dee.flac	plus_cba	3.1821	2.8208	3.3474	0.9705	3.3382	1.12
07016762_v008_6e85c31dee.flac	vocos_pretrained_en	3.1821	3.0068	3.0107	0.9627	2.9486	1.12
07016762_v008_6e85c31dee.flac	bigvgan_v2	3.1821	3.2344	4.4645	0.9962	4.1969	1.12
07631801_v011_d63dbb28ce.flac	baseline	3.5312	3.253	3.7996	0.9769	2.2507	5.92
07631801_v011_d63dbb28ce.flac	plus_c	3.5312	3.2854	3.5593	0.9682	2.1777	5.92
07631801_v011_d63dbb28ce.flac	plus_cb	3.5312	2.9594	3.7271	0.9771	2.15	5.92
07631801_v011_d63dbb28ce.flac	plus_cba	3.5312	2.9174	3.6012	0.9702	2.26	5.92
07631801_v011_d63dbb28ce.flac	vocos_pretrained_en	3.5312	2.9713	3.5329	0.9722	2.5475	5.92
07631801_v011_d63dbb28ce.flac	bigvgan_v2	3.5312	3.6109	4.3331	0.9945	2.2795	5.92
01404296_v066_d16cb77feb.flac	baseline	3.0472	2.7097	3.4474	0.9601	2.5898	7.04
01404296_v066_d16cb77feb.flac	plus_c	3.0472	2.9777	3.4924	0.9563	2.6304	7.04
01404296_v066_d16cb77feb.flac	plus_cb	3.0472	2.8956	3.584	0.9638	2.7697	7.04
01404296_v066_d16cb77feb.flac	plus_cba	3.0472	2.4571	3.4897	0.9631	2.717	7.04
